"rules","support","confidence","coverage","lift","count"
"{Professional_Yes,Religious_Yes} => {Political_No}",0.103933390755096,0.837962962962963,0.124031007751938,0.924786121673004,362
"{Long,Professional_Yes} => {Support_Group_No}",0.107378696525983,0.804301075268817,0.133505598621878,0.956102609270065,374
"{Long,Professional_Yes} => {Political_No}",0.111685328739592,0.836559139784946,0.133505598621878,0.923236845333006,389
"{M,Professional_Yes} => {Social_Club_No}",0.125753660637382,0.806629834254144,0.155900086132644,0.993455343955864,438
"{M,Professional_Yes} => {Political_No}",0.132931380993396,0.852670349907919,0.155900086132644,0.941017372854652,463
"{No,Professional_Yes} => {Social_Club_No}",0.131495836922194,0.809187279151943,0.162503588860178,0.996605124924406,458
"{No,Professional_Yes} => {Political_No}",0.138099339649727,0.84982332155477,0.162503588860178,0.937875357723468,481
"{Professional_Yes,Yes} => {Support_Group_No}",0.130921619293712,0.808510638297872,0.161929371231697,0.961106673444194,456
"{Professional_Yes,Yes} => {Political_No}",0.136376686764284,0.842198581560284,0.161929371231697,0.929460601893051,475
"{F,Professional_Yes} => {Political_No}",0.141544645420614,0.839863713798978,0.168532873959231,0.926883813422636,493
"{Professional_Yes,Religious_No} => {Hobbies_No}",0.179730117714614,0.896848137535817,0.200401952339937,1.28126417679953,626
"{Professional_Yes,Religious_No} => {Social_Club_No}",0.184898076370945,0.922636103151863,0.200401952339937,1.13633010865556,644
"{Professional_Yes,Religious_No} => {Support_Group_No}",0.162790697674419,0.812320916905444,0.200401952339937,0.965636093372581,567
"{Professional_Yes,Religious_No} => {Political_No}",0.170542635658915,0.851002865329513,0.200401952339937,0.939177116585137,594
"{Family_No,Professional_Yes} => {Hobbies_No}",0.156187194946885,0.804733727810651,0.194085558426644,1.1496667653669,544
"{Family_No,Professional_Yes} => {Social_Club_No}",0.172265288544358,0.887573964497041,0.194085558426644,1.09314714227129,600
"{Family_No,Professional_Yes} => {Support_Group_No}",0.157048521389607,0.809171597633136,0.194085558426644,0.961892380394612,547
"{Family_No,Professional_Yes} => {Political_No}",0.166236003445306,0.856508875739645,0.194085558426644,0.945253616667042,579
"{Hobbies_No,Professional_Yes} => {Social_Club_No}",0.204995693367786,0.89811320754717,0.228251507321275,1.10612740519335,714
"{Hobbies_No,Professional_Yes} => {Support_Group_No}",0.186620729256388,0.817610062893082,0.228251507321275,0.971923497971537,650
"{Hobbies_No,Professional_Yes} => {Political_No}",0.194946884869365,0.854088050314465,0.228251507321275,0.942581964272903,679
"{Professional_Yes,Social_Club_No} => {Support_Group_No}",0.214470284237726,0.824503311258278,0.260120585701981,0.980117758741496,747
"{Professional_Yes,Support_Group_No} => {Social_Club_No}",0.214470284237726,0.83,0.258397932816538,1.02223833097595,747
"{Professional_Yes,Social_Club_No} => {Political_No}",0.222222222222222,0.854304635761589,0.260120585701981,0.94282099060761,774
"{Political_No,Professional_Yes} => {Social_Club_No}",0.222222222222222,0.809623430962343,0.274476026414011,0.997142294922858,774
